"","quad","year","SP_ID","Species","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge"
"4115","NC28",34,14,"Bouteloua eriopoda",33.7746066797892,12.3525784768149,15.7868034612172,5,1,0,34,8.70761036824135,0
"4116","NC28",34,15,"Bouteloua eriopoda",2.01928234997256,31.3333647029896,6.77854703101275,5,0,0,32,5.8365016228191,0
"4117","NC28",34,16,"Bouteloua eriopoda",43.4614675502905,38.0472299217733,12.7370352385951,5,1,0,33,9.40959231640401,0
"4118","NC28",34,17,"Bouteloua eriopoda",25.347932790028,28.7364191354236,2.55299091144944,5,1,0,32,6.22954188234104e-09,0
"4119","NC28",35,9,"Bouteloua eriopoda",78.7298741651137,40.0829464120041,13.4335152517974,6,0,0,33,8.34678375590202,0
"4120","NC28",35,10,"Bouteloua eriopoda",74.6616919024223,28.4170641469855,3.39608876447422,6,0,0,32,-1.55577231653048e-07,0
"4121","NC28",35,11,"Bouteloua eriopoda",90.1508219355107,12.4558374751089,14.4982975839959,6,0,0,34,7.63685372737116,0
"4122","NC28",35,36,"Bouteloua eriopoda",0.25048851966858,31.7626953125,38.53759765625,1,0,0,35,31.512451171875,0
"4123","NC28",35,37,"Bouteloua eriopoda",0.24132430553436,22.698974609375,39.9688720703125,1,0,0,36,22.44873046875,0
"4124","NC28",35,41,"Bouteloua eriopoda",0.25048851966858,36.279296875,44.95849609375,1,0,0,37,36.029052734375,0
"4140","NC29",30,48,"Bouteloua eriopoda",9.13811822054445,36.9113652875391,50.4478791127482,1,0,0,41,35.269665595666,0
"4143","NC29",30,51,"Bouteloua eriopoda",3.61202045399808,67.5457946280083,20.078216236498,1,0,0,42,18.8304034184402,0
"4145","NC29",30,53,"Bouteloua eriopoda",2.29896155474137,72.2440708515603,52.7756481538278,1,0,0,43,26.8595374348126,0
"4146","NC29",30,54,"Bouteloua eriopoda",1.49810021016076,62.6770185975814,60.5272318376224,1,0,0,44,36.5992975525722,0
"4147","NC29",30,55,"Bouteloua eriopoda",10.9842295279429,69.2601601033316,50.2429488435162,1,1,0,45,28.5463118366649,0
